Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
Jonny Castro,es ESP,DF,Wolves,28-157,1994,1,0,1,0,0,1,0,0,,22.5,0,0,0,0,0,0.02,0,0,Matches,e28868f3
Ben Chilwell,eng ENG,DF,Chelsea,25-229,1996,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,d2424d1b
Ryan Christie,sct SCO,FW,Bournemouth,27-166,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,26ce2263
Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-124,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,0442183b
Jack Colback,eng ENG,MF,Nott'ham Forest,32-287,1989,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,963a9201
Nathan Collins,ie IRL,DF,Wolves,21-099,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a8c19eb8
Lewis Cook,eng ENG,MF,Bournemouth,25-185,1997,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,2afc7272
Philippe Coutinho,br BRA,FWMF,Aston Villa,30-056,1992,0.9,0,2,0,0,2.22,0,0,,19.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,0ef89a37
Marc Cucurella,es ESP,DF,Chelsea,24-016,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,1daec722
Ben Davies,wls WAL,DF,Tottenham,29-105,1993,0.9,0,1,1,100,01.06,01.06,0,0,26.7,0,0,0,0,0,0.03,0,0,Matches,44781702
Leander Dendoncker,be BEL,MF,Wolves,27-114,1995,1,0,3,2,66.7,3,2,0,0,16.5,0,0,0,0.3,0.3,0.12,-0.3,-0.3,Matches,5a7301ae
Ibrahima Diallo,fr FRA,MF,Southampton,23-152,1999,0.2,0,1,0,0,5.63,0,0,,21,0,0,0,0,0,0.05,0,0,Matches,11ff3d56
Luis Díaz,co COL,FW,Liverpool,25-206,1997,0.9,0,2,0,0,2.34,0,0,,8.8,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches,4a1a9578
Eric Dier,eng ENG,DF,Tottenham,28-204,1994,1,1,1,1,100,1,1,1,1,9.2,0,0,0,0.1,0.1,0.11,0.9,0.9,Matches,ac861941
Lucas Digne,fr FRA,DF,Aston Villa,29-018,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,1b84dbe1
Moussa Djenepo,ml MLI,DF,Southampton,24-053,1998,0.8,0,1,0,0,1.27,0,0,,14.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,254147d4
Matt Doherty,ie IRL,DF,Tottenham,30-203,1992,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,d557d734
Gabriel Dos Santos,br BRA,DF,Arsenal,24-231,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,67ac5bb8
Abdoulaye Doucouré,ml MLI,MF,Everton,29-218,1993,1,0,2,1,50,2,1,0,0,12,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,02b29014
Cheick Doucouré,ml MLI,MF,Crystal Palace,22-211,2000,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,ce4f40c7
Shane Duffy,ie IRL,FW,Fulham,30-218,1992,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,7314bba4
Malcolm Ebiowei,eng ENG,FW,Crystal Palace,18-337,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,fa9fa773
Odsonne Édouard,fr FRA,FW,Crystal Palace,24-203,1998,0.6,0,3,1,33.3,4.74,1.58,0,0,11.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,0562b7f1
Harvey Elliott,eng ENG,MF,Liverpool,19-125,2003,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,c8387671
